W,L,seed,goodput,goodput_mbps,total_time,retransmissions,buffer_events,delayed_acks
64,128,7,7006390.801524785,7.006390801524785,119.72794892021162,963,3,0
64,256,7,8317453.69119662,8.31745369119662,100.8554818751644,1949,12,3
64,512,7,9197072.101484608,9.197072101484608,91.20954916343318,2765,47,14
64,1024,7,8577695.209430734,8.577695209430734,97.79559421483242,5467,224,67
64,2048,7,7807624.55286286,7.80762455286286,107.44123187793537,8831,918,275
64,4096,7,7028359.130427645,7.028359130427645,119.3537189026593,15135,3003,900
2,128,8,2098866.3455629847,2.0988663455629846,399.67328161383716,1147,2,0
2,256,8,2770972.374722377,2.770972374722377,302.7315637111125,2450,14,4
2,512,8,3170623.104106623,3.1706231041066233,264.57285286084584,4174,55,16
2,1024,8,2943002.8046056,2.9430028046056,285.0356780792868,6828,188,56
2,2048,8,2507821.3826890006,2.5078213826890003,334.4978257983171,12907,930,279
2,4096,8,2213190.562818868,2.213190562818868,379.0278225891089,19403,3696,1108
4,128,8,3255863.381063124,3.2558633810631243,257.64619144618104,1080,3,0
4,256,8,4210123.471118928,4.210123471118928,199.24850322193882,2457,12,3
4,512,8,4880802.0330128055,4.880802033012806,171.86945799606437,3434,46,13
4,1024,8,4300380.737627172,4.300380737627172,195.06663506795903,6167,234,70
4,2048,8,4175206.0891769566,4.175206089176957,200.91482482134472,11376,874,262
4,4096,8,3386994.2099299068,3.386994209929907,247.6711644621796,19242,3080,924
8,128,8,4582442.596737306,4.582442596737305,183.05975084058184,1023,3,0
8,256,8,5347121.6656438215,5.347121665643821,156.88081410038325,2161,14,4
8,512,8,6383964.703234263,6.383964703234263,131.40122776290005,3363,58,17
8,1024,8,6066281.8698587855,6.066281869858786,138.28252923228038,6216,169,50
8,2048,8,5520643.4781570425,5.520643478157043,151.9498231173655,9820,734,220
8,4096,8,4653696.450772356,4.653696450772356,180.2568794234049,16415,2886,865
16,128,8,5996617.615448424,5.996617615448423,139.88899306151114,901,2,0
16,256,8,6908715.983303328,6.908715983303328,121.42065211934037,1993,10,3
16,512,8,7229220.05345221,7.2292200534522095,116.03752462887253,3001,49,14
16,1024,8,7229013.285074704,7.229013285074704,116.04084360059815,6117,206,61
16,2048,8,6517331.659205192,6.517331659205191,128.7123080218234,10141,934,280
16,4096,8,5461124.9642645875,5.461124964264587,153.6058606036611,15952,3794,1138
32,128,8,6322525.070566084,6.322525070566084,132.67812948741584,951,3,0
32,256,8,7827563.399735783,7.827563399735784,107.1675510195568,2060,12,3
32,512,8,7889515.091154482,7.8895150911544825,106.3260276845796,2869,40,12
32,1024,8,8071127.944369959,8.071127944369959,103.93352772770132,5397,169,50
32,2048,8,7566051.426488286,7.566051426488285,110.87167568848388,9673,875,262
32,4096,8,6514416.827191958,6.514416827191958,128.76989947872144,14763,3518,1055
64,128,8,7041740.611646598,7.041740611646598,119.12690998764947,916,2,0
64,256,8,8081903.338787858,8.081903338787859,103.79495582111406,1877,12,3
64,512,8,9087924.170007294,9.087924170007295,92.30499554215875,2999,58,17
64,1024,8,8493703.00890733,8.49370300890733,98.76267148972461,4918,197,59
64,2048,8,7827493.027913409,7.827493027913409,107.1685144922597,8981,662,198
64,4096,8,6855833.855592598,6.855833855592598,122.35722417860305,15629,2827,848
2,128,9,2136903.597255746,2.136903597255746,392.55902843594896,1112,2,0
2,256,9,2840325.523565552,2.8403255235655522,295.33966900630145,2413,14,4
2,512,9,3090454.4540076046,3.0904544540076047,271.4360662756869,3928,51,15
2,1024,9,2996338.737393852,2.996338737393852,279.9619380583192,6635,177,53
2,2048,9,2638153.841493315,2.638153841493315,317.9726620965996,11519,771,231
2,4096,9,2100499.672259215,2.1004996722592146,399.36249982736456,19435,2934,880
4,128,9,3182531.3609387246,3.1825313609387247,263.58288571666054,1022,3,0
4,256,9,4296058.548785293,4.296058548785292,195.2628881739024,2323,13,3
4,512,9,4839530.918664089,4.83953091866409,173.33514633925725,3782,55,16
4,1024,9,4666270.751956954,4.6662707519569535,179.77113729377925,6343,184,55
4,2048,9,4041489.5739884907,4.041489573988491,207.56228233248657,10774,916,274
4,4096,9,3471941.7627682164,3.4719417627682163,241.61142591607506,17778,3682,1104
8,128,9,4283596.442760233,4.283596442760233,195.83095915063862,993,2,0
8,256,9,5688581.100506803,5.688581100506803,147.4639783065174,1973,13,3
8,512,9,6415512.654532766,6.415512654532766,130.75506902902262,3222,45,13
8,1024,9,6148639.6495297225,6.148639649529723,136.43030781030728,6143,185,55
8,2048,9,5254969.983876558,5.254969983876558,159.6318918231342,9463,702,210
8,4096,9,4460707.419297218,4.4607074192972185,188.05555288630924,17430,3441,1032
16,128,9,5569272.292969305,5.5692722929693055,150.62305376215573,923,3,0
16,256,9,6468107.793616812,6.468107793616812,129.69183983418574,1909,13,3
16,512,9,7330901.8897945685,7.330901889794569,114.42804891002396,3137,40,12
16,1024,9,6893432.683651097,6.893432683651097,121.68985155820779,5475,162,48
16,2048,9,6288416.845223882,6.288416845223883,133.3977725470161,9444,897,269
16,4096,9,5685146.940791195,5.685146940791196,147.55305513409593,16501,3375,1012
32,128,9,6522872.891592112,6.522872891592113,128.60296589272485,892,2,0
32,256,9,7630577.098712262,7.630577098712262,109.9341228255942,1950,12,3
32,512,9,8383728.775922366,8.383728775922366,100.05819873481173,3107,57,17
32,1024,9,7702655.609186856,7.702655609186856,108.90540127478914,5243,231,69
32,2048,9,6939379.558274675,6.939379558274675,120.88412126120457,8982,642,192
32,4096,9,6420378.095771795,6.420378095771795,130.6559812345694,15082,2732,819
64,128,9,7105637.2146963095,7.105637214696309,118.05567532564388,926,2,0
64,256,9,7920363.489232898,7.920363489232898,105.91190683866522,1931,12,3
64,512,9,9280455.171363069,9.28045517136307,90.39004924979258,2859,48,14
64,1024,9,9038940.5414304,9.038940541430401,92.80521275198602,5553,171,51
64,2048,9,8199460.355402898,8.199460355402898,102.30683040588721,9297,942,282
64,4096,9,6528124.2036692845,6.528124203669284,128.499515914311,13453,2969,890
